precision,recall
0.8564125886847371,0.9976688494712527
0.8564099765322273,0.9976476571937186
0.8564073642846747,0.9976264649161846
0.8564047519420743,0.9976052726386505
0.8564021395044209,0.9975840803611165
0.8564177203675066,0.9975840803611165
0.8564333017975402,0.9975840803611165
0.856430689736732,0.9975628880835823
0.856428077580874,0.9975416958060482
0.8564254653299612,0.9975205035285142
0.8564228529839883,0.9974993112509801
0.8564202405429502,0.9974781189734461
0.8564176280068416,0.997456926695912
0.8564150153756573,0.997435734418378
0.8564124026493922,0.9974145421408439
0.8564097898280412,0.9973933498633099
0.8564253739491211,0.9973933498633099
0.8564227612687205,0.9973721575857758
0.8564383461930412,0.9973721575857758
0.8564357336536187,0.9973509653082416
0.8564331210191083,0.9973297730307076
0.8564305082895048,0.9973085807531735
